Fbtid,chromosome,start,end,name,length,fam_length,gapRate,seqID,divergence,family,gc
FBti0019639,X,18025352,18026036,1360{}154,685,3409,80.19%,90.25%,0.100611,1360,37.220566318927
FBti0019507,4,955215,956253,1360{}1543,1039,3409,69.98%,92.41%,0.004849,1360,34.6938775510204
FBti0020437,4,975875,976826,1360{}1545,952,3409,72.45%,93.21%,0.009582,1360,33.920704845815
FBti0020438,4,980822,981954,1360{}1546,1133,3409,69.71%,88.83%,0.060874,1360,34.1634738186462
FBti0019516,4,1188398,1189529,1360{}1558,1132,3409,66.95%,93.26%,0.019842,1360,33.1842861705525
FBti0019518,4,1197199,1198210,1360{}1561,1012,3409,70.58%,93.73%,0.011872,1360,41.3483892394553
FBti0020446,4,1278509,1280716,1360{}1565,2208,3409,43.06%,84.05%,0.107151,1360,35.4647016876634
FBti0020451,4,1262944,1264032,1360{}1570,1089,3409,68.25%,94.00%,0.016916,1360,34.1645077720207
FBti0020452,4,1261822,1262901,1360{}1571,1080,3409,70.41%,92.59%,0.004104,1360,32.3806430659305
FBti0059638,4,702217,702797,1360{}1577,581,3409,83.09%,92.03%,0.0320433,1360,42.7131782945736
FBti0059647,2L,22360654,22360869,1360{}1586,216,3409,93.70%,86.98%,0.0428277,1360,39.8825654923216
FBti0059649,X,21839424,21844452,1360{}1588,5029,3409,44.95%,79.01%,0.231359,1360,33.9641434262948
FBti0059650,X,21840713,21843200,1360{}1589,2488,3409,78.71%,95.65%,0.016205,1360,34.4919786096257
FBti0059651,2L,22360891,22361351,1360{}1590,461,3409,86.97%,89.46%,0.0803752,1360,38.3333333333333
FBti0059678,4,201553,204449,1360{}1617,2897,3409,78.47%,91.58%,0.001001,1360,32.6593137254902
FBti0059679,4,228194,229930,1360{}1618,1737,3409,72.94%,93.43%,0,1360,35.117773019272
FBti0059680,4,203231,204353,1360{}1619,1123,3409,67.41%,91.83%,0,1360,31.0698270339526
FBti0059681,4,228242,229345,1360{}1620,1104,3409,67.93%,93.43%,0,1360,34.1282629713181
FBti0059685,2R,902168,903804,1360{}1624,1637,3409,72.16%,93.90%,0,1360,33.993399339934
FBti0059686,2R,902291,903395,1360{}1625,1105,3409,67.82%,93.90%,0,1360,33.569587628866
FBti0059688,4,452471,455366,1360{}1627,2896,3409,70.91%,92.47%,0.061855,1360,32.8089887640449
FBti0059689,4,452658,453815,1360{}1628,1158,3409,66.15%,93.68%,0.017053,1360,30.8520747545138
FBti0019536,X,1408223,1408485,1360{}17,263,3409,92.32%,95.04%,0.0124394,1360,50.7073386383731
FBti0059779,3L,21491992,21494346,1360{}1718,2355,3409,64.22%,88.41%,0.072232,1360,39.8024804777216
FBti0059788,2R,2052305,2052335,1360{}1727,31,3409,99.09%,96.77%,1.00E-10,1360,34.8768472906404
FBti0059790,2R,2057386,2057416,1360{}1729,31,3409,99.09%,96.77%,1.54E-08,1360,33.448275862069
FBti0059795,2L,11300407,11300445,1360{}1734,39,3409,98.86%,87.18%,0.0897961,1360,41.1187438665358
FBti0059865,2R,2228858,2229031,1360{}1804,174,3409,94.90%,90.23%,4.50E-06,1360,38.1500230096641
FBti0059868,2R,2229283,2229698,1360{}1807,416,3409,88.16%,90.86%,2.40E-08,1360,37.0186335403727
FBti0059875,3R,18558804,18559072,1360{}1814,269,3409,92.68%,90.84%,0.0716961,1360,42.7689594356261
FBti0059947,X,3358246,3358293,1360{}1886,48,3409,98.62%,93.62%,5.15E-08,1360,38.4465070835369
FBti0019662,X,20904385,20904668,1360{}190,284,3409,91.70%,97.17%,0.015202,1360,43.6077057793345
FBti0059986,X,3597870,3597977,1360{}1925,108,3409,96.89%,88.68%,0.090569,1360,31.7513051732321
FBti0060023,2L,22094120,22094301,1360{}1962,182,3409,94.75%,85.47%,0.118251,1360,37.2477064220183
FBti0060026,2L,22114646,22114795,1360{}1965,150,3409,95.60%,87.33%,0.125651,1360,29.6744186046512
FBti0060028,2L,22169511,22169540,1360{}1967,30,3409,99.12%,100.00%,1.00E-10,1360,34.4181459566075
FBti0060030,2L,22194565,22194614,1360{}1969,50,3409,98.53%,82.00%,0.15048,1360,39.5121951219512
FBti0060067,4,590234,590269,1360{}2006,36,3409,98.94%,94.44%,0.0378836,1360,40.6388206388206
FBti0060068,4,648020,648058,1360{}2007,39,3409,98.94%,94.44%,1.00E-10,1360,32.2374877330716
FBti0060069,X,4005143,4005203,1360{}2008,61,3409,98.21%,96.72%,1.00E-10,1360,45.1456310679612
FBti0060103,X,20652568,20653048,1360{}2042,481,3409,86.75%,87.91%,0.0919264,1360,35.6854838709677
FBti0060145,3L,21723935,21723970,1360{}2084,36,3409,99.03%,96.97%,0.00010946,1360,49.9016715830875
FBti0060190,3L,21813941,21813971,1360{}2129,31,3409,99.09%,93.55%,0.0952453,1360,31.988188976378
FBti0060221,X,21787887,21788262,1360{}2160,376,3409,89.36%,87.09%,8.65E-07,1360,38.0791912384162
FBti0060238,3L,21929202,21929239,1360{}2177,38,3409,98.89%,86.84%,7.93E-05,1360,40.333660451423
FBti0060250,2L,20117109,20119062,1360{}2189,1954,3409,52.79%,76.86%,0.297317,1360,39.8330804248862
FBti0060251,2L,20117437,20118852,1360{}2190,1416,3409,64.62%,78.19%,0.194388,1360,39.3735362997658
FBti0060272,2L,20174388,20174530,1360{}2211,143,3409,95.81%,93.01%,2.90E-09,1360,31.0457516339869
FBti0060307,2R,15975574,15975606,1360{}2246,33,3409,99.03%,90.91%,1.00E-10,1360,44.3897637795276
FBti0060327,2R,2376139,2376238,1360{}2266,100,3409,97.07%,97.00%,0.0192256,1360,43.3539780848023
FBti0060328,2R,2378786,2379965,1360{}2267,1180,3409,65.58%,92.60%,0.0581114,1360,38.0622837370242
FBti0060337,3R,4087369,4087473,1360{}2276,105,3409,96.92%,89.52%,1.20E-05,1360,37.6901140684411
FBti0060373,2L,22255487,22256352,1360{}2312,866,3409,74.96%,87.03%,0.077647,1360,34.6019553072626
FBti0060389,2L,22405572,22406421,1360{}2328,850,3409,75.29%,91.35%,0.041251,1360,51.6151685393258
FBti0019709,X,21810388,21810758,1360{}237,371,3409,89.51%,86.63%,0.00765128,1360,35.9915611814346
FBti0060443,3R,5525748,5525779,1360{}2382,32,3409,99.06%,96.88%,1.00E-10,1360,43.2791728212703
FBti0060458,3L,23640084,23641184,1360{}2397,1101,3409,68.17%,94.03%,0.0318344,1360,33.1935483870968
FBti0060460,3L,23643487,23644576,1360{}2399,1090,3409,68.37%,93.52%,0.018118,1360,38.9248704663212
FBti0060461,3L,23689740,23690836,1360{}2400,1097,3409,68.05%,93.86%,0.014764,1360,36.4987080103359
FBti0060462,3L,23767686,23768651,1360{}2401,966,3409,72.71%,93.50%,0.008714,1360,33.3445718138908
FBti0060467,3L,23775827,23776012,1360{}2406,186,3409,94.54%,96.77%,0.00751991,1360,31.3644688644689
FBti0060468,3L,23794246,23794645,1360{}2407,400,3409,88.59%,88.72%,0.10328,1360,38.0733944954128
FBti0060469,3L,23795422,23795456,1360{}2408,35,3409,98.97%,97.14%,1.00E-10,1360,42.330383480826
FBti0060520,X,22287950,22288349,1360{}2459,400,3409,88.72%,87.82%,0.122651,1360,34.4036697247706
FBti0060521,X,22316089,22316226,1360{}2460,138,3409,95.95%,91.30%,0.0586434,1360,34.377923292797
FBti0060553,X,21790868,21791957,1360{}2492,1090,3409,68.26%,93.08%,0,1360,43.490932642487
FBti0060554,X,21796164,21797253,1360{}2493,1090,3409,68.26%,93.08%,0,1360,43.490932642487
FBti0060555,X,21817294,21817441,1360{}2494,148,3409,95.78%,95.83%,0.0675573,1360,43.2432432432432
FBti0060556,X,21837547,21837922,1360{}2495,376,3409,89.07%,88.74%,0.100024,1360,34.7935973041281
FBti0060598,2L,22257285,22257383,1360{}2537,99,3409,97.22%,89.47%,0.0590397,1360,36.9523809523809
FBti0060600,2L,22278335,22278384,1360{}2539,50,3409,98.53%,92.00%,0.0521869,1360,42.3828125
FBti0060601,2R,1019921,1019977,1360{}2540,57,3409,98.33%,94.74%,0.0645744,1360,44.4066147859922
FBti0060602,2R,1029165,1029403,1360{}2541,239,3409,92.99%,97.07%,1.00E-10,1360,38.4718498659517
FBti0060603,2R,1029893,1030978,1360{}2542,1086,3409,68.34%,94.63%,0.0084,1360,36.5316045380875
FBti0060604,2R,1099218,1099321,1360{}2543,104,3409,97.31%,84.78%,0.151379,1360,33.0004755111745
FBti0060613,2R,1131503,1131665,1360{}2552,163,3409,95.37%,81.65%,0.191168,1360,38.159111933395
FBti0060715,3L,11467778,11467806,1360{}2654,29,3409,99.15%,100.00%,1.00E-10,1360,40.6311637080868
FBti0060734,3L,22715346,22715521,1360{}2673,176,3409,95.08%,85.71%,0.113478,1360,41.8123275068997
FBti0019546,X,2558475,2559560,1360{}27,1086,3409,68.45%,93.78%,0.011532,1360,38.3792544570502
FBti0060794,2R,469965,470406,1360{}2733,442,3409,87.17%,91.55%,0.06901,1360,41.2535845964769
FBti0060832,2R,504296,505142,1360{}2771,847,3409,75.37%,89.54%,0.014944,1360,29.6907940969782
FBti0060836,3R,21320418,21320567,1360{}2775,150,3409,95.66%,86.49%,2.88E-07,1360,29.6744186046512
FBti0060848,2R,485671,486626,1360{}2787,956,3409,73.22%,78.96%,0.182572,1360,32.8595600676819
FBti0060849,2R,449961,450254,1360{}2788,294,3409,91.47%,95.19%,0.0735801,1360,36.1535106846925
FBti0060853,2R,595497,595844,1360{}2792,348,3409,90.02%,86.80%,0.0385902,1360,43.7579889220281
FBti0060854,2R,604289,606830,1360{}2793,2542,3409,42.65%,75.84%,0.304353,1360,36.3356088967188
FBti0060876,4,770482,770561,1360{}2815,80,3409,97.65%,97.50%,0.0419956,1360,36.7484367484367
FBti0060877,4,803183,803334,1360{}2816,152,3409,95.54%,90.13%,0.023652,1360,34.6815434681543
FBti0060879,4,874811,874905,1360{}2818,95,3409,97.30%,82.61%,0.176999,1360,31.3276026743075
FBti0060886,2R,673243,673692,1360{}2825,450,3409,86.90%,92.39%,0.0467853,1360,31.7272356063699
FBti0060908,3R,6724358,6724462,1360{}2847,105,3409,97.22%,84.21%,0.141509,1360,44.6292775665399
FBti0060975,2R,1013255,1014225,1360{}2914,971,3409,73.74%,81.01%,0.161382,1360,31.5488215488216
FBti0061303,3L,14238716,14238758,1360{}3242,43,3409,98.83%,92.50%,0.0233626,1360,35.9941234084231
FBti0061320,3L,14396517,14396564,1360{}3259,48,3409,98.65%,84.78%,0.00642983,1360,39.3258426966292
FBti0061376,3L,14944717,14944779,1360{}3315,63,3409,98.18%,82.26%,0.191847,1360,33.3656644034918
FBti0061506,2L,17432071,17432118,1360{}3445,48,3409,98.59%,100.00%,1.00E-10,1360,34.652981427175
FBti0061511,2R,3400744,3401505,1360{}3450,762,3409,78.79%,79.45%,0.172539,1360,39.6595436436074
FBti0061532,2R,21140444,21140480,1360{}3471,37,3409,98.91%,91.89%,4.00E-10,1360,35.6581532416503
FBti0061568,4,973777,973824,1360{}3507,48,3409,98.59%,93.75%,1.30E-09,1360,35.3688324377137
FBti0061569,4,973825,973873,1360{}3508,49,3409,98.56%,91.84%,0.0916994,1360,35.15625
FBti0061571,4,1117708,1117760,1360{}3510,53,3409,98.45%,86.79%,0.160413,1360,32.7972709551657
FBti0061665,2R,1152483,1152573,1360{}3604,91,3409,97.33%,87.91%,7.75E-05,1360,34.6411483253588
FBti0061681,2R,394995,395211,1360{}3620,217,3409,93.70%,87.44%,0.0233362,1360,34.927797833935
FBti0061683,2R,396121,398784,1360{}3622,2664,3409,38.01%,77.80%,0.257378,1360,33.8194295517907
FBti0061684,2R,1304711,1304751,1360{}3623,41,3409,98.89%,89.47%,0.0661171,1360,30.1960784313725
FBti0061687,2R,408210,408390,1360{}3626,181,3409,94.84%,82.39%,0.232481,1360,38.8990825688073
FBti0061688,2R,1314422,1314457,1360{}3627,36,3409,98.94%,91.67%,1.00E-10,1360,39.2137592137592
FBti0061690,2R,409317,409425,1360{}3629,109,3409,96.80%,92.66%,0.025628,1360,33.6337760910816
FBti0061691,2R,1329889,1330031,1360{}3630,143,3409,96.05%,77.78%,0.205232,1360,43.8842203548086
FBti0061693,2R,444864,444902,1360{}3632,39,3409,98.86%,92.31%,0.145158,1360,41.2659470068695
FBti0061705,2R,455633,455895,1360{}3644,263,3409,92.29%,93.54%,0.0558839,1360,42.9266136162688
FBti0061712,2R,479466,480459,1360{}3651,994,3409,71.29%,92.46%,0.027957,1360,35.8503174072837
FBti0061714,2R,481661,482045,1360{}3653,385,3409,88.90%,80.21%,0.268388,1360,32.2147651006711
FBti0061716,2R,484009,485279,1360{}3655,1271,3409,67.46%,76.68%,0.275131,1360,31.3149847094801
FBti0061726,2R,497830,498759,1360{}3665,930,3409,73.05%,88.71%,0.011342,1360,35.1314441789007
FBti0061728,2R,503012,504068,1360{}3667,1057,3409,71.56%,82.20%,0.164352,1360,32.0026178010471
FBti0061733,2R,505921,505957,1360{}3672,37,3409,98.94%,91.67%,0.107872,1360,32.0726915520629
FBti0061736,2R,510515,511613,1360{}3675,1099,3409,67.99%,93.60%,0.005955,1360,38.896061975468
FBti0061738,2R,526373,527432,1360{}3677,1060,3409,70.58%,89.07%,0.059782,1360,33.5730630925139
FBti0061740,2R,537901,538935,1360{}3679,1035,3409,69.72%,96.22%,0.0126562,1360,33.4541858932103
FBti0061743,2R,564255,564538,1360{}3682,284,3409,91.83%,91.76%,0.0756056,1360,38.3705650459921
FBti0061745,2R,564720,564856,1360{}3684,137,3409,96.01%,90.44%,0.0549862,1360,39.747191011236
FBti0061747,X,22073199,22073250,1360{}3686,52,3409,98.47%,90.38%,0.0220464,1360,37.5609756097561
FBti0061748,X,22090919,22090943,1360{}3687,25,3409,99.27%,96.00%,1.00E-10,1360,39.2786561264822
FBti0061749,X,22113700,22114575,1360{}3688,876,3409,75.25%,87.65%,0.096922,1360,41.2726008344924
FBti0061750,X,22122423,22122915,1360{}3689,493,3409,85.64%,91.43%,0.06767,1360,46.3884430176565
FBti0061751,X,22129998,22130332,1360{}3690,335,3409,90.33%,88.79%,0.0968021,1360,39.031705227078
FBti0061786,3R,11390,11413,1360{}3725,24,3409,99.30%,95.83%,0.025768,1360,35.7390014829461
FBti0061789,3R,41612,41647,1360{}3728,36,3409,98.94%,91.67%,2.90E-09,1360,44.0786240786241
FBti0061792,3R,140225,140252,1360{}3731,28,3409,99.18%,96.43%,0.0500883,1360,37.3458312777504
FBti0019770,2L,16280313,16281417,1360{}389,1105,3409,67.78%,94.18%,0,1360,38.3376288659794
FBti0061958,3L,23096749,23097723,1360{}3897,975,3409,72.22%,82.27%,0.142715,1360,38.239247311828
FBti0061960,3L,23123202,23123465,1360{}3899,264,3409,92.29%,92.78%,1.00E-10,1360,32.5817860300619
FBti0019771,2L,17335603,17336708,1360{}396,1106,3409,67.91%,95.44%,0.008148,1360,37.0167525773196
FBti0062136,4,1203527,1203611,1360{}4075,85,3409,97.51%,87.06%,0.082944,1360,33.3973128598848
FBti0062138,4,1214908,1215327,1360{}4077,420,3409,88.14%,91.38%,1.13E-05,1360,33.7742868954113
FBti0062143,4,1260786,1261821,1360{}4082,1036,3409,70.37%,90.65%,0.06583,1360,35.0576606260297
FBti0062161,3L,23328958,23329610,1360{}4100,653,3409,81.71%,86.15%,0.117081,1360,34.2760180995475
FBti0062163,3L,23328739,23328960,1360{}4102,222,3409,93.95%,78.26%,0.273843,1360,34.3243243243243
FBti0062167,4,1279361,1280454,1360{}4106,1094,3409,68.14%,94.76%,0.007142,1360,35.5641771742645
FBti0062174,2L,20148651,20149590,1360{}4113,940,3409,72.87%,96.44%,0.0135736,1360,38.1211708645337
FBti0062187,3L,23242002,23243622,1360{}4126,1621,3409,59.10%,77.95%,0.216537,1360,32.4861878453039
FBti0062210,3L,23584640,23585222,1360{}4149,583,3409,83.75%,87.28%,0.088782,1360,40.8985282726569
FBti0062237,2L,21383507,21383547,1360{}4176,41,3409,98.89%,92.11%,0.00759986,1360,32.4019607843137
FBti0062238,2L,21394628,21394879,1360{}4177,252,3409,92.64%,90.84%,0.0723178,1360,36.6341030195382
FBti0062239,2L,21401222,21401283,1360{}4178,62,3409,98.24%,93.33%,4.21E-06,1360,36.1784675072745
FBti0019780,2L,19737411,19740819,1360{}420,3409,3409,0.82%,99.20%,0.005702,1360,35.9282544378698
FBti0062309,2R,6763191,6763228,1360{}4248,38,3409,98.89%,100.00%,1.00E-10,1360,46.2444771723122
FBti0062370,3R,343654,343977,1360{}4309,324,3409,90.72%,90.54%,0.0774515,1360,31.8123116659492
FBti0062386,X,22305095,22305131,1360{}4325,37,3409,99.00%,97.06%,1.00E-10,1360,36.2475442043222
FBti0062410,X,22319619,22319936,1360{}4349,318,3409,90.86%,89.10%,0.0822505,1360,40.7167530224525
FBti0062411,X,22326068,22326287,1360{}4350,220,3409,93.58%,89.04%,0.081198,1360,35.7657657657658
FBti0062412,X,22346792,22346938,1360{}4351,147,3409,95.69%,90.48%,0.0909133,1360,39.049394221808
FBti0062434,2R,1404070,1404351,1360{}4373,282,3409,92.27%,84.91%,0.171248,1360,36.7821131082858
FBti0019799,2L,20166134,20170350,1360{}441,4217,3409,39.18%,83.60%,0.180504,1360,33.6229086229086
FBti0062597,3R,397207,397512,1360{}4536,306,3409,91.79%,84.04%,0.0195473,1360,39.175704989154
FBti0062600,3L,17854844,17854919,1360{}4539,76,3409,97.77%,97.37%,0.0197418,1360,37.2832369942197
FBti0062601,3R,402057,402178,1360{}4540,122,3409,96.42%,82.79%,6.78E-06,1360,34.7949080622348
FBti0062603,3R,417114,417147,1360{}4542,34,3409,99.00%,94.12%,0.0407179,1360,38.416133792425
FBti0062606,3R,433504,433559,1360{}4545,56,3409,98.45%,94.34%,0.0471725,1360,39.2214111922141
FBti0062607,2R,584036,585097,1360{}4546,1062,3409,69.00%,93.86%,0.017129,1360,32.9630839594904
FBti0062610,3R,455664,455695,1360{}4549,32,3409,99.06%,96.88%,1.00E-10,1360,37.124569177745
FBti0062612,2R,596611,596798,1360{}4551,188,3409,94.49%,91.49%,0.121053,1360,40.0548696844993
FBti0062614,2R,602730,602887,1360{}4553,158,3409,95.55%,89.47%,0.10768,1360,36.7176634214186
FBti0062668,3L,23478106,23478627,1360{}4607,522,3409,84.72%,89.64%,0.0869334,1360,36.5186360031721
FBti0062726,3L,23692022,23695300,1360{}4665,3279,3409,63.59%,77.82%,0.27541,1360,35.8658582796514
FBti0062751,2L,20155636,20155731,1360{}4690,96,3409,97.21%,90.53%,1.00E-10,1360,35.4007633587786
FBti0062752,2L,20157240,20157335,1360{}4691,96,3409,97.21%,90.53%,1.15E-06,1360,35.4007633587786
FBti0062753,2L,20158844,20158939,1360{}4692,96,3409,97.21%,90.53%,1.00E-10,1360,35.1145038167939
FBti0062754,2L,20165376,20165518,1360{}4693,143,3409,95.81%,95.10%,1.07E-08,1360,37.0214752567694
FBti0062777,2L,20209442,20210865,1360{}4716,1424,3409,58.73%,96.67%,0.017122,1360,34.1320864991233
FBti0062778,2L,20218517,20219531,1360{}4717,1015,3409,83.49%,82.62%,0.0710001,1360,40.3183023872679
FBti0062779,2L,20350107,20350139,1360{}4718,33,3409,99.03%,93.94%,4.00E-10,1360,46.7027559055118
FBti0062808,4,67212,68082,1360{}4747,871,3409,75.00%,88.08%,0.107396,1360,30.418118466899
FBti0062810,X,81942,82011,1360{}4749,70,3409,97.98%,76.81%,0.354026,1360,36.8777187046883
FBti0062812,4,121437,121485,1360{}4751,49,3409,98.59%,85.42%,0.0989248,1360,34.033203125
FBti0062813,4,121694,122052,1360{}4752,359,3409,89.63%,85.03%,0.114978,1360,34.6904156064461
FBti0062827,4,145884,145965,1360{}4766,82,3409,97.71%,92.31%,0.0604599,1360,39.5963479096588
FBti0062831,4,159597,160560,1360{}4770,964,3409,73.39%,82.81%,0.126011,1360,33.8845764427945
FBti0062833,4,178817,178843,1360{}4772,27,3409,99.21%,96.30%,4.00E-10,1360,32.2803553800592
FBti0019825,2L,20901513,20902616,1360{}478,1104,3409,67.93%,93.34%,0.003678,1360,39.465206185567
FBti0062871,2L,21604963,21604996,1360{}4810,34,3409,99.06%,100.00%,1.00E-10,1360,33.2185039370079
FBti0062874,3R,14548413,14549040,1360{}4813,628,3409,82.71%,79.50%,0.230934,1360,40.2740768937952
FBti0062875,3R,14747776,14747997,1360{}4814,222,3409,93.61%,85.32%,0.0938981,1360,40.6573615488519
FBti0019828,2L,21150942,21151404,1360{}483,463,3409,86.68%,92.53%,0.0604707,1360,35.7026807473599
FBti0062979,X,20034420,20034691,1360{}4918,272,3409,92.34%,85.88%,0.116208,1360,38.6443661971831
FBti0062980,X,20039501,20039533,1360{}4919,33,3409,99.03%,96.97%,4.89E-06,1360,38.9763779527559
FBti0019831,2L,21401543,21402396,1360{}493,854,3409,75.02%,91.20%,0.017255,1360,37.8330995792426
FBti0063022,2L,3171381,3171417,1360{}4961,37,3409,98.94%,97.22%,1.00E-10,1360,45.9724950884086
FBti0063060,2R,632367,632495,1360{}4999,129,3409,96.37%,78.23%,0.296159,1360,31.9078947368421
FBti0063061,2R,637904,639000,1360{}5000,1097,3409,68.13%,94.21%,0.004105,1360,34.6899224806202
FBti0063065,2R,717866,719454,1360{}5004,1589,3409,53.60%,96.34%,0.023637,1360,36.1482720178372
FBti0019839,2L,21570725,21570875,1360{}502,151,3409,95.57%,99.34%,6.30E-09,1360,38.8011152416357
FBti0019840,2L,21571788,21572326,1360{}503,539,3409,84.26%,95.72%,0.00519991,1360,34.3971631205674
FBti0019841,2L,21572533,21573028,1360{}504,496,3409,85.52%,94.33%,0.036722,1360,32.6121794871795
FBti0063103,2R,20806755,20806799,1360{}5042,45,3409,98.68%,84.44%,0.309396,1360,36.3013698630137
FBti0019842,2L,21582301,21583444,1360{}505,1144,3409,68.18%,93.81%,0.008285,1360,36.1641221374046
FBti0063127,2R,9325848,9326026,1360{}5066,179,3409,94.81%,87.57%,0.106956,1360,39.9449035812672
FBti0063194,3L,23377892,23378076,1360{}5133,185,3409,94.57%,94.05%,0.0561437,1360,46.9322344322344
FBti0063200,3L,23409043,23409557,1360{}5139,515,3409,84.93%,95.72%,0.0241854,1360,38.1369426751592
FBti0019847,2L,21725510,21725924,1360{}517,415,3409,87.96%,90.75%,0.0691939,1360,42.0878210439105
FBti0019243,2L,22113046,22114644,1360{}528,1599,3409,53.65%,92.24%,0.062488,1360,29.9332962757087
FBti0063369,4,139773,140449,1360{}5308,677,3409,80.98%,81.01%,0.165649,1360,35.3512705530643
FBti0063452,4,222663,223505,1360{}5391,843,3409,75.93%,87.39%,0.073585,1360,35.2216748768473
FBti0019857,2L,22218474,22220919,1360{}542,2446,3409,35.63%,83.86%,0.103498,1360,40.238416554206
FBti0063534,2L,21745705,21746039,1360{}5473,335,3409,90.56%,85.76%,0.150532,1360,37.2431506849315
FBti0063540,4,1271361,1272518,1360{}5479,1158,3409,68.65%,86.42%,0.106794,1360,31.1688311688312
